City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
511,sola,-13.8833,167.55,299.58,79,100,8.89,VU,1702221636
512,oleksandrivka,48.9634,32.2349,273.78,99,100,2.83,UA,1702221637
513,jinzhou,41.1078,121.1417,263.81,33,100,6.46,CN,1702221638
514,island harbour,50.724,-1.2758,286.44,92,100,3.58,GB,1702221638
515,taoudenni,22.6783,-3.9836,298.54,12,11,10.15,ML,1702221639
516,dogonbadan,30.3586,50.7981,291.2,45,0,0.0,IR,1702221639
517,safi,32.1667,-8.8333,301.05,20,1,3.98,MA,1702221639
518,souillac,-20.5167,57.5167,299.36,73,40,3.6,MU,1702221639
519,dalandzadgad,43.5708,104.425,265.07,62,73,2.18,MN,1702221640
520,marka,1.7159,44.7717,300.52,80,79,6.56,SO,1702221640
521,skagen,57.7209,10.5839,276.23,98,100,11.56,DK,1702221640
522,syriam,16.7722,96.2378,300.21,94,20,1.03,MM,1702221641
523,ranibennur,14.6167,75.6167,299.71,53,100,3.21,IN,1702221641
524,airdrie,55.866,-3.9803,278.46,90,100,3.29,GB,1702221615
525,port hedland,-20.3167,118.5667,301.18,20,0,5.66,AU,1702221643
526,kigoma,-4.8769,29.6267,297.86,77,100,1.32,TZ,1702221643
527,puerto armuelles,8.2833,-82.8667,303.14,81,15,2.24,PA,1702221643
528,peer,51.1317,5.4568,283.62,84,75,6.69,BE,1702221643
529,nizhnevartovsk,60.9344,76.5531,236.16,74,40,4.0,RU,1702221644
